L,L_ext,gam1s,gam2s,PLgam1,PLgam2,gam1_inf,gam2_inf
nan,47.23618090452261,nan,nan,137.77850202965226,97.17507706807302,nan,nan
nan,48.19095477386935,nan,nan,137.78846760209257,97.18143008997038,nan,nan
nan,49.14572864321608,nan,nan,137.79785801964638,97.1874164523898,nan,nan
nan,50.10050251256281,nan,nan,137.806716705091,97.19306383721879,nan,nan
nan,51.05527638190955,nan,nan,137.81508305934008,97.19839736241904,nan,nan
nan,52.01005025125628,nan,nan,137.82299290031276,97.20343986180428,nan,nan
nan,52.96482412060302,nan,nan,137.8304788469307,97.20821212983718,nan,nan
nan,53.91959798994975,nan,nan,137.8375706559465,97.21273313635628,nan,nan
nan,54.87437185929648,nan,nan,137.84429551811004,97.21702021538135,nan,nan
nan,55.82914572864322,nan,nan,137.8506783191884,97.22108923151265,nan,nan
nan,56.78391959798995,nan,nan,137.85674187052572,97.22495472691219,nan,nan
nan,57.73869346733669,nan,nan,137.86250711313934,97.22863005141433,nan,nan
nan,58.69346733668342,nan,nan,137.86799329876692,97.2321274779429,nan,nan
nan,59.64824120603015,nan,nan,137.87321815079278,97.23545830510105,nan,nan
nan,60.60301507537689,nan,nan,137.8781980075684,97.2386329485378,nan,nan
nan,61.55778894472362,nan,nan,137.88294795029475,97.2416610224726,nan,nan
nan,62.51256281407035,nan,nan,137.88748191733856,97.24455141257147,nan,nan
nan,63.46733668341709,nan,nan,137.89181280660156,97.24731234120729,nan,nan
nan,64.42211055276383,nan,nan,137.89595256734987,97.2499514260006,nan,nan
nan,65.37688442211055,nan,nan,137.89991228272493,97.25247573242011,nan,nan
nan,66.33165829145729,nan,nan,137.9037022440013,97.25489182112179,nan,nan
nan,67.28643216080403,nan,nan,137.9073320175218,97.25720579061992,nan,nan
nan,68.24120603015075,nan,nan,137.9108105051235,97.25942331580832,nan,nan
nan,69.19597989949749,nan,nan,137.91414599876796,97.2615496827871,nan,nan
nan,70.15075376884423,nan,nan,137.91734623000286,97.26358982039422,nan,nan
nan,71.10552763819095,nan,nan,137.92041841480585,97.2655483287933,nan,nan
nan,72.06030150753769,nan,nan,137.9233692942973,97.26742950542796,nan,nan
nan,73.01507537688443,nan,nan,137.92620517175104,97.26923736861592,nan,nan
nan,73.96984924623115,nan,nan,137.92893194628292,97.27097567902548,nan,nan
nan,74.92462311557789,nan,nan,137.93155514355348,97.2726479592483,nan,nan
nan,75.87939698492463,nan,nan,137.9340799437838,97.27425751165941,nan,nan
nan,76.83417085427136,nan,nan,137.93651120734933,97.27580743473335,nan,nan
nan,77.78894472361809,nan,nan,137.9388534981889,97.27730063796709,nan,nan
nan,78.74371859296483,nan,nan,137.9411111052387,97.27873985554427,nan,nan
nan,79.69849246231156,nan,nan,137.9432880620796,97.28012765886042,nan,nan
nan,80.65326633165829,nan,nan,137.94538816496663,97.28146646801642,nan,nan
nan,81.60804020100502,nan,nan,137.94741498939,97.28275856237639,nan,nan
nan,82.56281407035176,nan,nan,137.94937190530396,97.28400609027575,nan,nan
nan,83.5175879396985,nan,nan,137.95126209114335,97.28521107795707,nan,nan
nan,84.47236180904522,nan,nan,137.95308854673823,97.28637543780275,nan,nan
nan,85.42713567839196,nan,nan,137.95485410522315,97.28750097592743,nan,nan
